state,colony_n,colony_max,colony_lost,colony_lost_pct,colony_added,colony_reno,colony_reno_pct,net_gain,latitude,longitude
Alabama,7900.0,8560.0,1308.4,15.28,1122.8,617.2,8.304347826086957,-691.2,32.799,-86.8073
Arizona,28260.0,29380.0,5292.0,17.68,5383.6,3375.4166666666665,11.727272727272727,-1887.0833333333333,33.7712,-111.3877
Arkansas,21580.0,22440.0,3372.0,14.56,3186.4,1038.75,8.05,-2373.75,34.9513,-92.3809
California,940400.0,1193200.0,138240.0,11.16,132440.0,119340.0,10.96,-18900.0,36.17,-119.7462
Colorado,19580.0,25300.0,3763.2,13.96,2908.695652173913,2283.3333333333335,9.294117647058824,-1795.7142857142858,39.0646,-105.3272
Connecticut,3516.0,3576.0,258.0,7.2,396.5217391304348,181.8181818181818,5.894736842105263,-45.90909090909091,41.5834,-72.7622
Florida,244480.0,265200.0,35080.0,13.44,45600.0,27660.0,10.96,-7420.0,27.8333,-81.717
Georgia,122680.0,129200.0,17080.0,13.24,21128.0,17958.0,13.958333333333334,878.0,32.9866,-83.6487
Hawaii,15480.0,15480.0,833.2,5.458333333333333,1084.8,2094.5833333333335,15.238095238095237,1261.25,21.1098,-157.5311
Idaho,96680.0,124840.0,12720.0,10.24,11072.0,9569.2,10.73913043478261,-3150.8,44.2394,-114.5103
Illinois,11240.0,11660.0,1638.0,14.48,1849.5652173913043,811.6666666666666,7.5,-864.5833333333334,40.3363,-89.0022
Indiana,10092.0,10880.0,1321.2,12.88,1494.4,928.6363636363636,8.75,-433.1818181818182,39.8647,-86.2604
Iowa,28120.0,32440.0,3332.0,11.12,5183.75,1861.304347826087,7.277777777777778,-1490.8695652173913,42.0046,-93.214
Kansas,5824.0,6296.0,1212.4,19.32,1121.25,515.8333333333334,10.19047619047619,-692.9166666666666,38.5111,-96.8005
Kentucky,7800.0,8356.0,1192.8,14.72,1050.8,670.4166666666666,7.863636363636363,-401.25,37.669,-84.6514
Louisiana,49800.0,52720.0,4026.8,7.52,4466.8,6090.4,12.565217391304348,2063.6,31.1801,-91.8749
Maine,5360.0,11100.0,877.2,8.52,442.72727272727275,520.5,4.705882352941177,-478.0,44.6074,-69.3977
Maryland,7400.0,8360.0,1004.4,12.08,1209.5454545454545,477.0833333333333,7.105263157894737,-538.75,39.0724,-76.7902
Massachusetts,5784.0,7516.0,731.2,12.2,552.9166666666666,327.9166666666667,4.6521739130434785,-402.9166666666667,42.2373,-71.5314
Michigan,66760.0,80160.0,9028.0,11.56,7560.416666666667,5273.75,7.45,-3859.5833333333335,43.3504,-84.5603
Minnesota,75840.0,99400.0,11120.0,10.44,8550.416666666666,3872.608695652174,4.875,-7475.217391304348,45.7326,-93.9196
Mississippi,33460.0,42540.0,3896.0,10.16,6456.4,6415.6,12.631578947368421,2519.6,32.7673,-89.6812
Missouri,9272.0,9492.0,916.4,10.32,809.2,476.25,6.095238095238095,-390.8333333333333,38.4623,-92.302
Montana,77140.0,113080.0,7432.4,6.478260869565218,7226.521739130435,11299.52380952381,10.058823529411764,3267.1428571428573,46.9048,-110.3261
Nebraska,29740.0,40480.0,3646.4,8.72,3112.1739130434785,7339.473684210527,16.875,3030.5263157894738,41.1289,-98.2883
New Jersey,11304.0,14240.0,690.0,5.28,692.8,584.3478260869565,4.380952380952381,-129.56521739130434,40.314,-74.5089
New Mexico,5744.0,6288.0,1151.6,16.92,1244.5833333333333,671.1111111111111,11.75,-298.3333333333333,34.8375,-106.2371
New York,40600.0,45440.0,4968.0,11.2,4071.2,2373.3333333333335,5.571428571428571,-2551.6666666666665,42.1497,-74.9384
North Carolina,20400.0,22260.0,2796.0,12.6,2738.4,1784.4,8.521739130434783,-1011.6,35.6411,-79.8431
North Dakota,246920.0,351160.0,29505.6,7.333333333333333,15660.869565217392,28216.666666666668,7.411764705882353,-3733.809523809524,47.5362,-99.793
Ohio,17060.0,17980.0,2736.8,15.36,2797.6,1466.0,8.75,-1270.8,40.3736,-82.7755
Oklahoma,12368.0,22468.0,1534.4,11.08695652173913,2366.4,1460.0,12.176470588235293,-275.5,35.5376,-96.9247
Oregon,88080.0,104720.0,7792.0,7.48,8900.8,12576.4,12.0,4784.4,44.5672,-122.1269
Pennsylvania,18920.0,20540.0,2462.0,12.28,2864.4,1462.5,7.391304347826087,-831.25,40.5773,-77.264
South Carolina,14020.0,15720.0,1665.2,10.76,1750.0,1421.2,9.291666666666666,-244.0,33.8191,-80.9066
South Dakota,106680.0,153820.0,15072.4,8.0,9390.0,11465.78947368421,7.733333333333333,-7365.263157894737,44.2853,-99.4632
Tennessee,9880.0,10380.0,1504.0,14.56,1321.2,781.6,7.625,-722.4,35.7449,-86.7489
Texas,206880.0,269160.0,23880.0,8.96,47216.0,35725.2,12.478260869565217,11845.2,31.106,-97.6475
Utah,21460.0,26460.0,3016.8,11.48,3830.4,2503.6363636363635,13.0,-710.9090909090909,40.1135,-111.8535
Vermont,6500.0,6740.0,346.0,5.541666666666667,470.0,134.0,2.769230769230769,-201.0,44.0407,-72.7093
Virginia,7600.0,7800.0,1014.8,13.2,1240.8333333333333,485.6,6.541666666666667,-529.2,37.768,-78.2057
Washington,72320.0,99680.0,8724.0,9.0,8308.8,6573.333333333333,7.5,-2139.1666666666665,47.3917,-121.5708
West Virginia,7004.0,7608.0,906.8,12.2,833.75,685.6,9.208333333333334,-221.2,38.468,-80.9696
Wisconsin,39900.0,51160.0,6240.0,12.96,4434.4,3627.9166666666665,7.55,-2751.25,44.2563,-89.6385
Wyoming,18388.0,24520.0,2498.0,9.72,2182.1739130434785,2370.5555555555557,9.176470588235293,-509.44444444444446,42.7475,-107.2085
